@ Estado SP,Cidade FRANCA,Rua RUA VOLUNTARIOS DA FRANCA,Nº 1465 - CENTRO,SP  Link FRANCA: https://vendedor.magazineluiza.com.br/filiais/1,,,,,,
Estado MG,Cidade ARAXA,Rua RUA PRESIDENTE OLEGARIO MACIEL,Nº 194 - CENTRO,MG  Link ARAXA: https://vendedor.magazineluiza.com.br/filiais/2,,,,,,
Estado SP,Cidade RIBEIRAO PRETO,Rua RUA SALDANHA MARINHO,Nº 475 - CENTRO,SP  Link RIBEIRAO PRETO: https://vendedor.magazineluiza.com.br/filiais/3,,,,,,
Estado SP,Cidade FRANCA,Rua AVENIDA BRASIL,Nº 317 - CIDADE NOVA,SP  Link FRANCA: https://vendedor.magazineluiza.com.br/filiais/4,,,,,,
Estado MG,Cidade UBERABA,Rua PC RUI BARBOSA,Nº 120 - CENTRO,MG  Link UBERABA: https://vendedor.magazineluiza.com.br/filiais/5,,,,,,
Estado MG,Cidade ARAGUARI,Rua PC RUI BARBOSA,Nº 186 - CENTRO,MG  Link ARAGUARI: https://vendedor.magazineluiza.com.br/filiais/6,,,,,,
Estado MG,Cidade UBERLANDIA,Rua RUA FLORIANO PEIXOTO,Nº 1406 - BRASIL,MG  Link UBERLANDIA: https://vendedor.magazineluiza.com.br/filiais/7,,,,,,
Estado SP,Cidade BARRETOS,Rua AVENIDA DEZENOVE,Nº 786 - CENTRO,SP  Link BARRETOS: https://vendedor.magazineluiza.com.br/filiais/9,,,,,,
Estado SP,Cidade SAO CARLOS,Rua AVENIDA SAO CARLOS,Nº 1428 - CENTRO,SP  Link SAO CARLOS: https://vendedor.magazineluiza.com.br/filiais/10,,,,,,
Estado SP,Cidade MATAO,Rua AVENIDA SETE DE SETEMBRO,Nº 1155 - CENTRO,SP  Link MATAO: https://vendedor.magazineluiza.com.br/filiais/11,,,,,,
Estado SP,Cidade MOGI MIRIM,Rua RUA CONDE DE PARNAIBA,Nº 35 - CENTRO,SP  Link MOGI MIRIM: https://vendedor.magazineluiza.com.br/filiais/12,,,,,,
Estado SP,Cidade FRANCA,Rua BARAO DE LUCA,Nº 2 - ESTACAO,SP  Link FRANCA: https://vendedor.magazineluiza.com.br/filiais/13,,,,,,
Estado MG,Cidade UBERLANDIA,Rua AVENIDA AFONSO PENA,Nº 262 - CENTRO,MG  Link UBERLANDIA: https://vendedor.magazineluiza.com.br/filiais/14,,,,,,
Estado MG,Cidade ITUIUTABA,Rua RUA VINTE E DOIS,Nº 830 - CENTRO,MG  Link ITUIUTABA: https://vendedor.magazineluiza.com.br/filiais/15,,,,,,
Estado SP,Cidade SERTAOZINHO,Rua RUA BARAO RIO BRANCO,Nº 1273 - CENTRO,SP  Link SERTAOZINHO: https://vendedor.magazineluiza.com.br/filiais/18,,,,,,
Estado MG,Cidade PASSOS,Rua RUA DR JOAO BRAULIO,Nº 54 - CENTRO,MG  Link PASSOS: https://vendedor.magazineluiza.com.br/filiais/19,,,,,,
Estado SP,Cidade SAO JOSE DO RIO PRETO,Rua RUA GENERAL GLICERIO,Nº 2746 - CENTRO,SP  Link SAO JOSE DO RIO PRETO: https://vendedor.magazineluiza.com.br/filiais/20,,,,,,
Estado MG,Cidade UBERLANDIA,Rua AVENIDA JOAO NAVES DE AVILA,Nº 1331 - CENTER SHOPPING,MG  Link UBERLANDIA: https://vendedor.magazineluiza.com.br/filiais/21,,,,,,
Estado SP,Cidade SAO JOAO DA BOA VISTA,Rua PC GOVERNADOR ARMANDO SALES,Nº 173 - CENTRO,SP  Link SAO JOAO DA BOA VISTA: https://vendedor.magazineluiza.com.br/filiais/22,,,,,,
Estado SP,Cidade ORLANDIA,Rua PC MARIO FURTADO,Nº 1 - CENTRO,SP  Link ORLANDIA: https://vendedor.magazineluiza.com.br/filiais/24,,,,,,
Estado SP,Cidade ARARAQUARA,Rua RUA 9 DE JULHO,Nº 836 - CENTRO,SP  Link ARARAQUARA: https://vendedor.magazineluiza.com.br/filiais/25,,,,,,
Estado SP,Cidade RIBEIRAO PRETO,Rua AVENIDA DA SAUDADE,Nº 1053 - CAMPOS ELISEOS,SP  Link RIBEIRAO PRETO: https://vendedor.magazineluiza.com.br/filiais/26,,,,,,
Estado MG,Cidade SAO SEBASTIAO DO PARAISO,Rua PC COM JOSE HONORIO,Nº 88 - CENTRO,MG  Link SAO SEBASTIAO DO PARAISO: https://vendedor.magazineluiza.com.br/filiais/27,,,,,,
Estado SP,Cidade LIMEIRA,Rua PC LUCIANO ESTEVES,Nº 245 - CENTRO,SP  Link LIMEIRA: https://vendedor.magazineluiza.com.br/filiais/28,,,,,,
